"age";"name";"man";"woman"
"21 год";Брянская область;1544;1593
"21 год";Владимирская область;1402;2000
"21 год";Волгоградская область;3710;4416
"21 год";Вологодская область;1033;1393
"21 год";Воронежская область;5507;7383
"21 год";г. Москва;48183;54821
"21 год";г.Санкт-Петербург;20179;25350
"21 год";г.Севастополь;968;890
"21 год";Еврейская автономная область;57;116
"21 год";Забайкальский край;882;1390
"21 год";Ивановская область;1482;1903
"21 год";Иркутская область;3746;4790
"21 год";Кабардино-Балкарская Республика;1065;1055
"21 год";Калининградская область;1243;1559
"21 год";Калужская область;1074;1465
"21 год";Камчатский край;217;195
"21 год";Карачаево-Черкесская Республика;954;1004
"21 год";Кемеровская область;2805;3439
"21 год";Кировская область;1411;2235
"21 год";Костромская область;560;768
"21 год";Краснодарский край;5652;8986
"21 год";Красноярский край;4377;4927
"21 год";Курганская область;773;988
"21 год";Курская область;2000;2923
"21 год";Ленинградская область;199;509
"21 год";Липецкая область;1158;1519
"21 год";Магаданская область;149;166
"21 год";Московская область;4306;6382
"21 год";Мурманская область;419;439
"21 год";Нижегородская область;5587;7260
"21 год";Новгородская область;333;584
"21 год";Новосибирская область;6018;8179
"21 год";Омская область;3861;4555
"21 год";Оренбургская область;2556;3411
"21 год";Орловская область;1500;1850
"21 год";Пензенская область;2278;2328
"21 год";Пермский край;3158;4563
"21 год";Приморский край;2856;3452
"21 год";Псковская область;562;662
"21 год";Республика Адыгея;878;830
"21 год";Республика Алтай;141;232
"21 год";Республика Башкортостан;5630;7303
"21 год";Республика Бурятия;980;1303
"21 год";Республика Дагестан;3489;3566
"21 год";Республика Ингушетия;577;387
"21 год";Республика Калмыкия;436;450
"21 год";Республика Карелия;704;931
"21 год";Республика Коми;828;827
"21 год";Республика Крым;2156;2473
"21 год";Республика Марий Эл;1081;1300
"21 год";Республика Мордовия;1660;2264
"21 год";Республика Саха (Якутия);1433;1635
"21 год";Республика Северная Осетия - Алания;1512;1509
"21 год";Республика Татарстан;10119;11884
"21 год";Республика Тыва;210;369
"21 год";Республика Хакасия;457;630
